@relation sheep_weight

@attribute K_0_19 numeric
@attribute K_20_39 numeric
@attribute K_40_59 numeric
@attribute K_60_79 numeric
@attribute K_80_99 numeric
@attribute K_100_119 numeric
@attribute K_120_139 numeric
@attribute K_140_159 numeric
@attribute K_160_180 numeric
@attribute Major_axis numeric
@attribute Minor_axis numeric
@attribute Hu_0 numeric
@attribute Hu_1 numeric
@attribute Hu_2 numeric
@attribute Hu_3 numeric
@attribute Hu_4 numeric
@attribute Hu_5 numeric
@attribute Hu_6 numeric
@attribute Area numeric
@attribute Perimeter numeric
@attribute Weight numeric

@data
0,0,0,26,61,93,108,862,2814,852.6740783162815,442.22972841183855,0.0007721176278138236,1.9783566200064808e-07,1.1437806601562879e-11,1.777035008021162e-12,7.638809908870475e-24,6.942415566570015e-16,-2.4151941097615185e-24,291828.0,2372.9789142608643,47.5
0,0,0,40,151,152,344,541,2735,914.2913904782582,440.85288490722564,0.0008261589405985507,2.6467619851248356e-07,2.758711523763372e-11,6.410759100200641e-12,7.617987889684889e-23,2.39762229164604e-15,3.8274749652995627e-23,304530.0,2593.454090833664,47.5
0,0,1,71,112,84,180,789,3082,992.9334460335315,423.0560324188064,0.0008891828230482533,3.793960672531351e-07,2.5707717507875714e-11,7.744017598853807e-12,1.0472486619152133e-22,3.987512332338659e-15,3.116974284937288e-23,319927.5,2697.4368458986282,47.5
0,0,16,38,135,177,376,836,3121,1043.5306672976437,421.5894407613832,0.0009353444111312653,4.52735860130472e-07,5.079218971048791e-11,1.7679140915853355e-11,5.160960720616666e-22,1.0697727921240127e-14,1.196025578733535e-22,330661.0,2892.164767742157,47.5
0,0,23,57,37,94,340,1054,3135,1016.2317141831286,418.3764359474589,0.0009232883401869276,4.2990056299881985e-07,2.2308885605443373e-11,6.756466715196958e-12,7.386028461780045e-23,2.6813639569186848e-15,3.77547951577197e-23,319360.0,2854.625663757324,47.5
0,0,32,85,58,89,262,815,2742,846.3988488175812,450.8076704837509,0.0007660509652569676,1.8273061166060734e-07,1.1188521076186572e-11,1.6716825572153093e-12,5.760842640941404e-24,4.383103471535561e-16,4.368120832708738e-24,293170.0,2452.542403459549,47.5
0,0,0,18,62,79,180,829,2638,826.5879376409362,444.62758843717677,0.0007558133823511867,1.7354421536085898e-07,7.592077877857973e-12,1.1849850763320588e-12,3.385535740636298e-24,4.48805545011304e-16,1.0820990426627786e-24,284678.0,2293.5474557876587,47.5
0,0,31,90,92,140,233,689,3670,1170.6977878458201,381.8194461544212,0.0011514188353649374,8.649245049187726e-07,1.5357669193349833e-10,8.267660452499331e-11,9.248798441984804e-21,7.193742685973492e-14,1.1182263379891757e-21,321376.0,3177.2185904979706,44.1
0,0,0,69,131,144,216,804,3491,1136.5782555283272,369.27118441967,0.0011459728625279704,8.595864181990519e-07,1.4612994083067305e-10,8.650272592036988e-11,9.702918144984991e-21,7.916264114378048e-14,6.631410227614233e-22,304125.0,3028.7921843528748,44.1
0,0,0,15,192,191,217,1031,3103,940.0867793002642,438.5885253088036,0.0009180304233490078,3.478989562387093e-07,9.933828354107979e-11,1.2341940132507167e-11,-7.883975072278227e-24,-3.745226933766425e-15,-4.32077044505605e-22,286054.5,2879.176960349083,44.1
67,2,1,0,27,129,344,906,3061,1061.1131014517716,378.17712046213984,0.0010307929596254787,6.375155627350612e-07,7.293437856595267e-11,2.9070084650514692e-11,1.3169805202560935e-21,2.0900082753066846e-14,-2.3934614644613247e-22,300485.5,2840.3830231428146,44.1
0,0,21,77,72,110,197,815,3201,1039.0019127654696,415.02001781991754,0.000990865139957105,5.157844900377935e-07,1.1540611409272952e-10,2.7432591225894384e-11,1.2155522381670528e-21,8.234278552311285e-15,9.512691700448804e-22,308383.0,2902.1302778720856,44.1
16,30,12,38,119,119,273,810,3620,1142.7150768157812,385.9709847266817,0.0011243034775210452,7.993046136530059e-07,1.643181246839682e-10,6.421590757276556e-11,6.3382644643568266e-21,4.5524105130656044e-14,-1.827247728890215e-21,315757.5,3146.1475228071213,44.1
0,0,0,65,83,83,340,668,3496,1004.4143509414035,417.1671698098959,0.0009429144806340084,4.428443658410017e-07,4.3562764461587056e-11,1.0196899457595081e-11,1.572992856606785e-22,1.9700514679230967e-15,1.464375095622448e-22,306209.0,2878.0815074443817,44.1
0,0,0,39,55,124,318,1007,3308,1087.451362456904,382.48347360057676,0.0010602152897177873,6.8355728186277e-07,9.744045448391311e-11,4.542537252955926e-11,2.999752061440159e-21,3.508395085637426e-14,3.673367240597412e-22,305920.5,2924.8926895856857,44.1
0,23,25,60,109,111,199,831,3527,1157.3567995964893,377.8641407240567,0.0011474188668975703,8.581502394167509e-07,1.763531309395456e-10,7.79094112536609e-11,8.961506512526026e-21,6.343017592469836e-14,-1.7575220395269286e-21,315255.5,3135.686626791954,44.1
0,36,50,79,116,84,214,780,3377,1012.8726279287613,410.93564663654695,0.0009749697239046849,4.8911628962887e-07,9.912864799024095e-11,2.023545517463269e-11,6.153741231973528e-22,3.6449524278941095e-15,-6.6534451718919355e-22,299083.5,2950.171908020973,44.1
0,0,0,72,99,157,321,844,2981,997.4845983035759,408.68840324672465,0.0009499716372584704,4.58157948323056e-07,7.301088073283382e-11,1.7645950850359406e-11,5.319263283969119e-22,6.305295954064027e-15,3.4383011493879364e-22,298579.0,2847.988142490387,44.1
16,30,30,36,98,145,277,843,3349,1068.4236678981913,381.9031608330669,0.0010417242467576646,6.491295627862913e-07,8.89138159602293e-11,4.2044322412359066e-11,2.560686001027278e-21,3.2560170829832715e-14,2.2629875512956565e-22,301582.0,3025.6449966430664,44.1
0,0,0,20,173,163,283,1002,3588,1173.3412187794224,379.07343384868636,0.0011550634510698362,8.774660237956481e-07,1.1655639412710667e-10,7.339324198631922e-11,6.7755982098660226e-21,6.758540481424793e-14,4.1280030633005287e-22,321216.5,3219.201345562935,44.1
0,11,64,70,129,147,195,694,3440,1026.771731447249,412.06089737831036,0.0009916484642829625,5.134242287770025e-07,1.1138378839410945e-10,2.5628905537761433e-11,1.0402483450279268e-21,6.5896762315974024e-15,-8.904664030644918e-22,301243.0,3013.184100627899,44.1
0,0,29,76,60,112,182,725,3387,1026.833363772137,419.33521609453516,0.0009755176802715225,4.853178707846072e-07,1.1067540619907235e-10,2.4790041508208282e-11,9.822699943195937e-22,6.253414603638788e-15,8.492608211947543e-22,307837.0,2889.277465581894,44.1
