@relation sheep_weight

@attribute Eucl_A_B real
@attribute Eucl_A_C real
@attribute Eucl_A_D real
@attribute Eucl_B_C real
@attribute Eucl_B_D real
@attribute Eucl_C_D real
@attribute EquivalentDiameter real
@attribute AspectRatio real
@attribute Extent real
@attribute Solidity real
@attribute Area real
@attribute Perimeter real
@attribute K_0_19 real
@attribute K_20_39 real
@attribute K_40_59 real
@attribute K_60_79 real
@attribute K_80_99 real
@attribute K_100_119 real
@attribute K_120_139 real
@attribute K_140_159 real
@attribute K_160_180 real
@attribute Hu_0 real
@attribute Hu_1 real
@attribute Hu_2 real
@attribute Hu_3 real
@attribute Hu_4 real
@attribute Hu_5 real
@attribute Hu_6 real
@attribute Major_axis real
@attribute Minor_axis real
@attribute Weight real
@data
910.2175564116526,762.6545744962132,350.051424793558,239.80408670412604,688.1220821918157,627.7467642290162,569.7705883431478,1.9088983050847457,0.5995468782332248,0.863501820336974,254970.5,2680.9860545396805,0,0,61,40,139,163,315,521,3119,0.0009635401960117866,4.959679392536831e-07,4.588498004584744e-11,1.5708798343348223e-11,3.9816721028489223e-22,8.576520450548192e-15,1.390378935402545e-22,933.5309521287104,368.0875652993621,33.2
904.4998618020901,366.67424234598207,678.7230657639388,683.7090024272022,275.44327909753036,553.6108741706579,554.839652715025,1.9324618736383443,0.5938661321975865,0.8835787896506359,241782.5,2501.81448161602,0,0,0,63,156,158,202,660,2858,0.0008897905948264164,3.438952147826388e-07,6.768694837458787e-11,1.2042260720277077e-11,2.2265374402065213e-22,1.5342304474253067e-15,-2.61970322265058e-22,855.2201520048377,387.6908102517478,33.2
761.2207301433665,744.8818698290354,361.8134878635676,189.10843450253614,502.86379865725075,571.5050305990316,543.4203075974325,1.7442396313364055,0.7059533448185598,0.9240596351292666,231932.5,2243.9667216539383,0,0,0,71,124,107,104,704,2609,0.0008038034218053168,2.4256393799683894e-07,9.327979494586106e-12,2.6983471753235113e-12,1.347362776861894e-23,1.3166757631233682e-15,1.3141538966482416e-24,784.8238336488353,384.59536409961396,33.2
860.0372084973999,682.3137108398159,361.2215386712149,369.25871689101666,569.0562362368064,546.136429841482,556.0345245129262,1.904867256637168,0.6239529051421994,0.8830818857748628,242825.0,2627.253080368042,0,28,55,29,131,150,299,712,2859,0.0009321356164848004,4.461623937480825e-07,2.412028532030155e-11,8.838194983067242e-12,1.257252125859006e-22,4.9647727331584436e-15,2.907629027725832e-23,892.3768888708827,362.59980533101486,33.2
900.6497654471465,746.0730527233911,343.93604056568427,254.568261965234,671.8586160793058,609.0,563.8537908174707,2.0316742081447963,0.6291066623668484,0.883716526961578,249702.5,2638.0987523794174,11,37,10,39,95,187,351,568,3044,0.0009578353828851037,4.983908945873721e-07,3.079645282419853e-11,1.2674520191234262e-11,2.4819960147871895e-22,8.58207005061116e-15,3.318075722801052e-23,922.7360181785544,359.0148245524786,33.2
958.0365337501488,814.946010481676,352.00142045167945,212.4547010541306,755.6487279152926,683.1368823303277,569.756062913608,1.9874213836477987,0.5638207768312855,0.8702556759515101,254957.5,2701.2947105169296,0,0,0,92,160,152,265,630,3063,0.0009529626107758625,4.49126557173395e-07,9.0543295374099e-11,2.2579448412100737e-11,8.501228212114227e-22,7.501588249131547e-15,5.653314916051193e-22,920.920590312757,384.39706737946443,33.2
879.823277709791,759.0210800761729,326.88836014761984,236.24140195994434,671.1221945368817,635.7082664241515,566.3277597464831,1.9295154185022025,0.6333818618872327,0.8661752923659896,251898.5,2621.329200387001,0,0,28,44,130,118,286,609,3055,0.0009456178157483191,4.66250135449902e-07,4.5183072813575296e-11,1.873479569371574e-11,5.392654214539602e-22,1.1996049088649868e-14,7.941337686351594e-23,916.8577314311227,368.31748005676764,33.2
1018.1964447001375,811.1923323109015,395.58816969166304,330.22568040659706,744.452819190041,659.81588340991,656.9987094800044,2.215217391304348,0.7232474292784913,0.9193913844092765,339015.0,2792.365778207779,0,0,0,15,115,134,203,884,3164,0.0009120457104667858,4.0914696221304337e-07,3.454877294954265e-11,7.855635102260725e-12,1.0542270696126007e-22,2.5058991015639113e-15,7.506381693972976e-23,1037.7801942835501,434.81649451236285,47.5
964.4361046746435,845.2721455247416,477.4484265342174,319.8280788173546,576.9610038815448,611.9297345284016,644.6156722122017,1.9377510040160641,0.6791018998272884,0.9205184255433173,326356.0,2705.05206990242,0,0,0,48,123,92,196,707,3169,0.0008856809847627372,3.735084315871043e-07,2.4404186206840674e-11,7.23769984344222e-12,9.198306171557229e-23,3.679489161189146e-15,2.8138305651472213e-23,1000.0648412548209,428.28642992381873,47.5
861.5381593406063,408.0061274049693,370.84363281577316,542.7200014740566,659.7946650284465,475.31042488041436,617.0253389838007,1.8160676532769555,0.7359385883088404,0.9592132973408205,299017.0,2460.4002680778503,0,0,36,64,64,91,263,804,2794,0.0007639091189993908,1.7990598715237887e-07,1.0979724014722556e-11,1.5859814323926657e-12,5.213992640885089e-24,4.061307783785632e-16,4.076205536131382e-24,852.8189640100104,456.05865846688704,47.5
894.0833294497778,466.9914346109573,377.6135590785903,523.8931188706338,653.4286495096461,474.806276285392,620.6187998101847,1.9163090128755365,0.7269463495282815,0.9586753287909998,302510.0,2419.429705619812,0,0,0,1,76,86,111,664,3025,0.0008013625360764235,2.4458856223087563e-07,9.529288936056738e-12,2.205557039005203e-12,1.0106266678744535e-23,1.090774053262197e-15,3.195112906359292e-25,895.832269004979,435.8806264689165,47.5
