@relation sheep_weight

@attribute Major_axis numeric
@attribute Minor_axis numeric
@attribute Area numeric
@attribute Perimeter numeric
@attribute Weight numeric
@data

1170.6977878458208,381.819446154421,321376.0,3177.2185904979706,44.1
1136.5782555283274,369.27118441967,304125.0,3028.7921843528748,44.1
940.0867793002643,438.5885253088034,286054.5,2879.176960349083,44.1
1061.1131014517716,378.1771204621395,300485.5,2840.3830231428146,44.1
1039.0019127654698,415.02001781991703,308383.0,2902.1302778720856,44.1
1142.7150768157803,385.970984726681,315757.5,3146.1475228071213,44.1
1004.4143509414039,417.1671698098956,306209.0,2878.0815074443817,44.1
1087.4513624569042,382.4834736005773,305920.5,2924.8926895856857,44.1
1157.3567995964893,377.86414072405705,315255.5,3135.686626791954,44.1
1012.8726279287612,410.9356466365469,299083.5,2950.171908020973,44.1
997.4845983035759,408.68840324672465,298579.0,2847.988142490387,44.1
1068.4236678981906,381.9031608330669,301582.0,3025.6449966430664,44.1
1173.3412187794222,379.07343384868636,321216.5,3219.201345562935,44.1
1026.7717314472493,412.06089737831053,301243.0,3013.184100627899,44.1
1026.8333637721373,419.33521609453504,307837.0,2889.277465581894,44.1
1045.7430531260432,389.5458321464609,297259.5,2917.662241578102,44.1
943.1873195857617,330.53514607205153,236469.0,2470.895653963089,31.8
918.4893318393672,334.0406024260414,233298.5,2383.3393050432205,31.8
879.3129147196696,338.0810412516151,222020.0,2413.630716085434,31.8
744.5798344063958,366.5146165263334,205793.0,2143.9250915050507,31.8
916.5906743689544,330.88400889752677,232576.5,2384.2266072034836,31.8
960.359693675089,333.5131320509806,238391.5,2682.441898226738,31.8
742.7636721390838,375.57597719858023,205860.0,2211.9250915050507,31.8
954.4456206214901,330.61143111367363,237749.5,2514.9961591959,31.8
930.089568347771,357.18906247154496,243071.0,2644.6845388412476,31.8
800.7669256847146,354.1166027728933,215103.0,2220.5525081157684,31.8
928.7739559461736,331.6853520955198,235566.0,2383.096664428711,31.8
891.3677431992571,340.85260332198203,224435.0,2562.591173887253,31.8
879.9994133561614,374.40414881423817,233075.0,2567.253080368042,31.8
758.966365028157,371.61121000910333,209158.5,2254.2509924173355,31.8
877.6031410595697,349.9543500402405,225383.0,2530.05712223053,31.8
938.3694374312198,346.50140982645325,241406.5,2489.8489714860916,31.8
777.3567885041866,379.4330174019752,226680.5,2231.6235758066177,33.2
842.3368048196868,357.5194175292461,227659.5,2355.731221318245,33.2
952.4403838306476,366.1173526042544,258441.5,2740.927179455757,33.2
914.5815653542592,353.5989644405311,243441.0,2646.625663757324,33.2
907.7734261196489,363.0903495342266,245646.5,2641.755606532097,33.2
889.7322763484382,378.9571913422085,243212.5,2617.353585600853,33.2
912.506742341997,360.50533127433727,246556.0,2684.4246532917023,33.2
940.7111430981131,349.8320932226142,246356.5,2701.530210852623,33.2
911.3788158511343,379.2604140887681,248535.0,2694.5079135894775,33.2
827.7226209819828,377.3385609456942,230954.5,2441.755606532097,33.2
846.5548827600576,382.369294016212,235841.0,2497.027684688568,33.2
922.6023666038141,355.67755167317534,243808.5,2677.2114502191544,33.2
828.0254990094575,369.16577209845116,232206.5,2384.0499819517136,33.2
870.9424086835273,355.5150917400546,231768.5,2470.441898226738,33.2
883.8071790541381,357.212823196649,236531.5,2634.1231375932693,33.2
925.0374110654606,362.6656083215425,248606.5,2706.441898226738,33.2
712.777778936693,447.2888165265432,239395.5,2380.7850440740585,34.8
740.2754844491822,426.1758394522377,235306.0,2328.3758828639984,34.8
758.4854888514535,428.17539583096067,237957.5,2424.4763880968094,34.8
781.819974617863,398.37330746313705,234059.0,2414.6845388412476,34.8
748.2698672160295,428.19497531256013,239183.0,2397.630716085434,34.8
771.2862483027661,414.2658886180287,237985.5,2229.505825638771,34.8
985.4705839102271,368.5040119450002,270132.0,2706.6012785434723,34.8
840.8128819339963,387.7277194392673,241325.0,2462.032737016678,34.8
816.8276740075561,400.14118533427984,242550.0,2413.40532040596,34.8
841.9497777607166,383.5823278668249,241459.0,2444.317007780075,34.8
891.5080915691569,385.8719537700161,250299.0,2554.4591431617737,34.8
853.9404866770295,377.5038330822833,242515.0,2453.8906016349792,34.8
862.1232900174751,366.91938623738235,239247.0,2424.2337474823,34.8
868.766932408686,380.18755843495137,247081.0,2458.8611640930176,34.8
861.5084711577689,389.2202754079185,250185.0,2475.145434856415,34.8
964.828338728198,362.2225605462034,261671.0,2609.831726551056,34.8
900.3859819276158,362.1363555461262,240064.5,2538.5007733106613,28.5
590.1864783806532,497.07788729987965,210699.0,2236.743413925171,28.5
722.7961623696007,395.69120387542716,210619.5,2223.706836104393,28.5
958.933331952096,364.2837984206139,252452.0,2629.027684688568,28.5
836.8179179993222,351.6157558550843,216431.5,2294.5596483945847,28.5
887.5349304482173,348.97873682614363,225942.0,2478.8611640930176,28.5
578.1511257490075,479.4276806880824,198547.5,2250.4520028829575,28.5
736.8505002203055,420.69091110303776,228216.5,2360.216502547264,28.5
913.2105376210542,339.43323905333267,230333.5,2509.1626797914505,28.5
950.5428024790723,330.7004629637965,234254.0,2617.3708305358887,28.5
737.4530422847331,399.1573703555102,205723.5,2178.039877295494,28.5
932.2896596049643,331.36268979022174,232132.5,2489.304815173149,28.5
991.633079871648,338.33183729763607,248357.0,2609.22869515419,28.5
784.6820997533636,379.7020014356382,217172.0,2276.6012785434723,28.5
571.5027294921726,454.7485588177893,189599.5,2109.0550342798233,28.5
790.7360056318263,342.2747829861105,206932.5,2165.883461356163,28.5
1212.4792593487075,414.2643754612154,368765.5,3378.11303293705,55.0
1155.9412682389761,427.59894169460443,358093.0,3276.87544465065,55.0
1024.386634658093,449.4368109851083,336046.5,2854.927179455757,55.0
1254.0160501569608,409.91974357908447,381984.5,3534.5638242959976,55.0
1251.7199327354679,428.39307621527786,384822.0,3358.1546630859375,55.0
1227.2890473836676,413.4246033814981,371322.0,3453.409496307373,55.0
1253.7512551474695,433.9634024887466,386656.5,3415.7698870897293,55.0
1242.2966082814044,425.2625403899794,380491.5,3460.7648347616196,55.0
1182.7092798724248,433.20702423728136,371627.5,3377.1668556928635,55.0
1013.2731309576425,466.25209211871794,346271.5,2830.8338145017624,55.0
1132.1311871112,411.59120636909955,353958.5,3007.176960349083,55.0
989.9386817462813,422.80702803177405,323329.0,2672.542403459549,55.0
1082.051505777835,418.0712601717325,339873.0,2969.7038717269897,55.0
1172.5830827881316,432.56150553367536,367331.5,3343.10798060894,55.0
1140.6049815056037,444.69146316424815,368496.0,3287.586121559143,55.0
1241.6177955691326,413.80914475083677,373390.5,3445.4511264562607,55.0
796.0372011837093,399.83882339287453,244273.5,2240.5352631807327,37.0
868.0680625005971,387.6361563414891,257708.0,2417.939372062683,37.0
825.4957921246006,397.25502492290576,250238.0,2312.032737016678,37.0
847.1634814638091,405.5930980089329,259703.0,2336.1992576122284,37.0
824.5879665464258,387.71885529450896,247130.0,2345.4885807037354,37.0
858.9475045788387,420.79523524957403,263280.5,2391.7900964021683,37.0
828.4910428312955,403.30165571734324,254271.5,2385.6134711503983,37.0
869.9326007158031,407.53914699882995,264269.0,2565.454090833664,37.0
784.3099169589008,400.751039703512,243686.0,2167.606330871582,37.0
880.5931519941795,413.83334636728233,270784.0,2561.537351131439,37.0
834.6865165327557,386.4955251893224,247812.0,2195.4154250621796,37.0
814.174815261923,394.178105246028,243761.0,2371.831726551056,37.0
834.1395743739382,394.67880872854204,252356.0,2283.2875702381134,37.0
928.6418066830332,384.4208149150005,269793.5,2616.6773985624313,37.0
848.3999339540344,405.0992626014211,257878.0,2307.807341337204,37.0
788.9708986185695,422.1970287210768,245677.5,2267.1626797914505,37.0
1010.4406272483004,306.97442586141756,215223.0,2859.100840330124,32.5
882.7493480903393,301.4105101559236,188489.5,2515.377970814705,32.5
997.9504125576542,289.52579850133964,209964.0,2762.9099345207214,32.5
963.7023483042128,279.89851456476777,199037.5,2801.3190957307816,32.5
887.1413631136722,299.1938201777656,192844.5,2526.1576274633408,32.5
944.220819898904,296.02661880601704,199935.0,2607.787132024765,32.5
952.9955585607596,307.1017922099856,200192.5,2699.152575135231,32.5
885.5853837512641,312.3117694496946,198563.0,2522.2236428260803,32.5
903.3766804502233,303.2675485179545,199499.0,2568.87544465065,32.5
989.6202205890478,286.72165741051583,204055.5,2838.5840336084366,32.5
948.3105999580056,330.55898018527347,204523.5,2942.2795535326004,32.5
897.3377568842924,280.17657497156665,188593.0,2305.831726551056,32.5
898.2211719378195,315.4928781280548,197898.5,2624.4074083566666,32.5
964.4657885064275,304.3624391276116,214511.0,2947.277465581894,32.5
911.777505894221,320.6880710573636,199343.0,2721.8216218948364,32.5
1046.298443134239,289.4451809081137,211201.5,2854.1475228071213,32.5
1065.8794804046652,424.81604294356845,332841.5,3281.510001540184,47.5
1054.4684113866697,412.3573350087855,316956.0,3168.591173887253,47.5
1120.5418794472807,409.6905371943817,333334.5,3327.686626791954,47.5
1045.2168332906363,422.7367291804476,324591.0,3163.8703923225403,47.5
1077.4076062855722,421.34988489926883,334946.0,3134.3556735515594,47.5
1051.7339799481758,414.09633576290514,320066.5,3182.9170747995377,47.5
1074.4064321140288,414.64829678071095,326695.0,3218.390163421631,47.5
1092.8194981789125,396.59376895282355,318964.0,3079.478476047516,47.5
1062.138600574639,419.41390084418254,329438.5,3245.6033664941788,47.5
