@relation sheep_weight

@attribute Eucl_A_B real
@attribute Eucl_A_C real
@attribute Eucl_A_D real
@attribute Eucl_B_C real
@attribute Eucl_B_D real
@attribute Eucl_C_D real
@attribute EquivalentDiameter real
@attribute AspectRatio real
@attribute Extent real
@attribute Solidity real
@attribute Area real
@attribute Perimeter real
@attribute K_0_19 real
@attribute K_20_39 real
@attribute K_40_59 real
@attribute K_60_79 real
@attribute K_80_99 real
@attribute K_100_119 real
@attribute K_120_139 real
@attribute K_140_159 real
@attribute K_160_180 real
@attribute Hu_0 real
@attribute Hu_1 real
@attribute Hu_2 real
@attribute Hu_3 real
@attribute Hu_4 real
@attribute Hu_5 real
@attribute Hu_6 real
@attribute Major_axis real
@attribute Minor_axis real
@attribute Weight real
@attribute sheep_number real
@data

978.8738427397067,370.47537030145475,944.4913975256736,700.2642358424425,185.52088831180168,727.2001100109928,606.997726302848,2.2334096109839816,0.6784732903177402,0.8636972103705627,289377.0,2818.317007780075,0,0,21,55,114,163,284,462,3418,0.0009880090291874764,5.488401605535616e-07,4.423771852212116e-11,2.220751146764268e-11,6.943162154331941e-22,1.6076920678608984e-14,-4.922863691608783e-23,1012.4282842386793,382.8117841624105,37.5,1931.375
825.9691277523634,668.5102841392943,398.22104414508283,313.2107916403903,510.08332652616673,506.377329666327,562.2403263631086,1.9951690821256038,0.7260281784047443,0.9429699458014137,248275.5,2253.7657111883163,0,0,0,73,89,99,100,493,2742,0.000798448912184369,2.384359089080287e-07,5.6512800223479484e-12,1.0920814817832275e-12,2.3978984080993077e-24,3.613996719399574e-16,1.2691185313562713e-24,808.8923495271864,397.12737674890263,37.5,1931.375
962.8883632072827,383.83590243748694,758.023746329889,706.6540879383632,247.92337525937324,578.5862079241087,603.0038632088396,2.276190476190476,0.7112509962143854,0.9080319612344439,285581.5,2661.329200387001,0,0,0,19,76,189,359,418,3425,0.000979513838799038,5.340252085205268e-07,5.131343904252905e-11,1.656680683930199e-11,4.617803777823269e-22,9.758370958897602e-15,-1.4169159558365647e-22,1000.2341688378428,381.4551408360864,37.5,1931.375
1008.9068341526882,906.8412209422331,465.2364989980902,308.36666486505965,616.0779171500956,641.038220389393,617.4812068612672,2.3013698630136985,0.6782701855475828,0.8760030071932765,299459.0,2795.8216218948364,0,0,19,24,47,129,319,808,3224,0.0009959870306641549,5.605304977964464e-07,5.0402266425692415e-11,1.8904269084913983e-11,5.697227316002504e-22,1.2015744539694916e-14,1.2619787767202721e-22,1034.4750633401204,389.47189053350706,37.5,1931.375
1034.3713066399318,403.37699488195904,410.37665625617643,730.5402110767072,683.8954598474828,394.0812099047606,606.5329295417599,2.6151898734177217,0.7081108238263875,0.8946848534580192,288934.0,2830.0226323604584,0,0,27,52,82,186,318,524,3486,0.000997293071685877,5.675762251746957e-07,6.17650144462304e-11,2.7739423245343475e-11,1.1419491627894325e-21,2.0119059484846145e-14,1.1964351454529004e-22,1017.9880690305695,379.9804037696303,37.5,1931.375
977.0081882973141,390.0897332665909,405.4281687302943,665.4058911671883,651.8013501059967,387.3732050619919,606.4494802328576,2.520618556701031,0.7612171378576097,0.9206400555849488,288854.5,2601.3393050432205,0,0,0,0,74,96,297,517,3471,0.0009795642583454783,5.48389858461368e-07,2.915621715181886e-11,1.2710076189517401e-11,2.4467295918708e-22,9.410092781736026e-15,-7.130713417034573e-25,1008.8047528454047,376.06027016785544,37.5,1931.375
975.7340826270239,414.03864553927815,761.8037805104409,694.0871703179652,265.228203628498,573.097722905963,608.1524066507715,2.26046511627907,0.6949923437649536,0.9138583023972818,290479.0,2680.518018245697,0,0,0,17,134,125,270,588,3331,0.0009778755253670001,5.336923324345452e-07,4.8146907091932066e-11,1.4329511400449438e-11,3.5372462925134444e-22,8.030118117214492e-15,-1.2862300890878873e-22,1008.2211473595889,383.61872101653375,37.5,1931.375
957.0752321526245,419.59146797807983,877.7043921503413,621.8199096201407,310.5221409175198,669.3549133307382,609.4903278253183,1.9511201629327901,0.6202639154042068,0.8792170299452445,291758.5,2727.152575135231,0,0,0,34,35,127,341,719,3185,0.0009667945465903671,5.023857562488811e-07,4.2194560437086056e-11,1.1447955131241431e-11,2.222078195183045e-22,4.884972629447903e-15,-1.1802121433420666e-22,1000.673205102128,392.66398509682267,37.5,1931.375
953.2539011197384,426.7177052806691,875.7608120942613,615.6500629416032,297.47268782192424,663.1930337390464,607.3248640347146,1.9469387755102041,0.6197086381722501,0.8819491908562417,289689.0,2744.9931948184967,0,0,40,51,74,114,290,692,3193,0.0009539260866615448,4.769928851002682e-07,4.290824897117753e-11,1.0232030596588275e-11,1.7834906968251324e-22,3.591620582240201e-15,-1.1898111360670458e-22,987.8655028376702,395.257103977061,37.5,1931.375
