@relation sheep_weight

@attribute Eucl_A_B real
@attribute Eucl_A_C real
@attribute Eucl_A_D real
@attribute Eucl_B_C real
@attribute Eucl_B_D real
@attribute Eucl_C_D real
@attribute EquivalentDiameter real
@attribute AspectRatio real
@attribute Extent real
@attribute Solidity real
@attribute Area real
@attribute Perimeter real
@attribute K_0_19 real
@attribute K_20_39 real
@attribute K_40_59 real
@attribute K_60_79 real
@attribute K_80_99 real
@attribute K_100_119 real
@attribute K_120_139 real
@attribute K_140_159 real
@attribute K_160_180 real
@attribute Hu_0 real
@attribute Hu_1 real
@attribute Hu_2 real
@attribute Hu_3 real
@attribute Hu_4 real
@attribute Hu_5 real
@attribute Hu_6 real
@attribute Major_axis real
@attribute Minor_axis real
@attribute Weight real
@data

669.8805863734223,298.2029510249689,658.3167930411619,417.42664026149555,442.3087157178796,588.8327436547665,496.0564524260005,1.1889483065953654,0.5164917541229386,0.8298495862871472,193264.5,2361.4713357686996,0,0,0,12,147,312,569,688,2171,0.0007949136576715337,1.1208191777638271e-07,1.027302484917554e-10,7.75071793100051e-12,-1.1221225071750725e-22,-4.794778546140128e-16,1.8772593572267906e-22,669.1337529165085,427.0417718280156,32.1
684.7985105123988,699.8528416745909,158.80806024884254,339.00589965367857,577.440040177333,664.4110173680144,498.57507237901024,1.011437908496732,0.5153578932919425,0.7359635697429827,195232.0,2778.036912918091,0,0,56,93,195,256,464,755,2613,0.0009285030545031798,2.3684414215585786e-07,1.5660287071378829e-10,3.4109946111748275e-11,7.909747529558139e-22,3.804337238139228e-15,-2.3641876121128645e-21,752.9837764458645,420.7385397720617,32.1
975.9492814690731,793.1355495752287,185.80096878111266,246.61102976144437,890.1825655448438,744.8771710825886,484.8086048517896,2.4175,0.4772479317476732,0.6998661682413067,184599.5,2792.5251585245132,0,0,0,69,174,247,484,929,2721,0.001459223317431017,1.5910620023355387e-06,2.6611560225380997e-10,1.9069942567084342e-10,4.2876318740742815e-20,2.1480429128878526e-13,2.67211036154485e-21,1015.5396286656037,273.86285076815625,32.1
973.6657537368766,151.16216457830973,192.03385118254542,972.8211551976036,965.5806543215331,341.07037396994775,486.9162034129129,2.8563049853372435,0.5606411869907929,0.6938221924137417,186208.0,2750.8855493068695,0,0,0,72,110,122,253,773,3332,0.0015239767864653518,1.7942355219699035e-06,3.02180221595801e-10,2.929096387254885e-10,8.713090908706461e-20,3.886752175998366e-13,1.463657473346071e-21,1046.328428761285,265.58504657368184,32.1
623.9390995922599,586.3872440631702,132.9661611087573,355.8005059018326,540.3739445976277,578.6622503671723,489.59239507126136,0.9522968197879859,0.6170978188898432,0.8094336215458567,188260.5,2648.7160643339157,0,0,68,113,239,280,440,951,2080,0.0008002427090404062,5.4751743925434456e-08,9.3323905318403e-11,1.5987618169317276e-11,5.52854538931603e-23,1.392840226164081e-16,-6.150703060488648e-22,632.1182716836859,467.72848388405777,32.1
995.809218675947,833.0216083631925,333.75589882427545,214.68348795377813,763.7702534139438,654.8602904436946,510.1840094617205,2.689189189189189,0.5552886051881026,0.8356476561094851,204429.5,2733.4124606847763,10,32,36,29,65,253,501,948,2756,0.0013149306354331156,1.2858270328079604e-06,9.394244039126961e-12,8.25614299887839e-12,7.200392720957393e-23,8.07296105005373e-15,1.011145278691346e-23,1012.9942039813589,275.38992775589537,32.1
995.4506517150913,854.7520108195125,274.8708787776544,224.0200883849482,755.7909763949289,652.7641227886227,506.04314718716154,2.6186666666666665,0.546162932790224,0.7589875863474351,201124.5,2977.662241578102,0,0,74,32,128,214,477,1052,2977,0.001392421048432024,1.4346663842263169e-06,7.524684062750395e-11,4.869531374843017e-11,2.9431881600438184e-21,4.902601102404408e-14,1.619965404060848e-22,1034.2188601722964,283.50988970361556,32.1
933.1345026307837,737.4638974214263,380.0052631214468,300.98006578509484,653.1707280642635,571.161098115059,508.940284850446,1.9024896265560165,0.46026416648189794,0.7389793690664952,203434.0,2757.253080368042,0,0,41,141,167,222,556,812,2624,0.0010921573131884976,6.483705899154789e-07,1.6279099003846949e-10,2.3883642439982216e-11,-1.182709770867022e-22,-8.445035317169616e-15,1.484540786140768e-21,889.9886362756506,346.1033536182259,32.1
1001.328118051221,942.7375032319442,235.41028014935966,157.09869509324386,898.7302153594259,876.0022831020476,495.6501020655198,2.404819277108434,0.46586667310524665,0.6906168906705801,192948.0,3058.650048971176,0,24,42,83,207,274,385,876,3245,0.0015494975859838577,1.8682407051916318e-06,1.0529752661951448e-10,1.302650231028693e-10,1.5255805628323174e-20,1.7511121076293179e-13,1.295962756619656e-22,1075.1359393550733,269.07191326737205,32.1
