Regressors;Performace
LM;0.5393606627247924
LM;0.5259049647717801
LM;0.5620405811664775
LM;0.5276061854810332
LM;0.422288119493428
LM;0.6543473324625875
LM;0.5013909299065993
LM;0.5372509797833468
GBR;0.9731955128384081
GBR;0.9666958953976535
GBR;0.9784927451855978
GBR;0.9666457467423082
GBR;0.9614788001842048
GBR;0.9799652413403744
GBR;0.9623678355893232
GBR;0.9692230555955327	
XGBR;0.9923708287302538
XGBR;0.9917571313331432
XGBR;0.9924587586307856
XGBR;0.9920684279513956
XGBR;0.9913575390462136
XGBR;0.9926857074308
XGBR;0.9922610297859765
XGBR;0.9922507569105237
SVR;0.6496020840264707
SVR;0.664026758598832
SVR;0.6680055640644074
SVR;0.6697150197096196
SVR;0.6188392310312348
SVR;0.7793359274431304
SVR;0.6794054327604959
SVR;0.6675571871911516
RFR;0.9446473302720297
RFR;0.9451752577972079
RFR;0.9501591775188457
RFR;0.9466374655471504
RFR;0.9336590230103737
RFR;0.9635847321342627
RFR;0.9390341770576578
RFR;0.9475020902265212
KNR;0.7121809113969043
KNR;0.6942470420103597
KNR;0.733844681790956
KNR;0.6996136573330307
KNR;0.6550199149480976
KNR;0.7482725692950556
KNR;0.6797631960590611
KNR;0.7027064251320122
GBM;0.811888262282193
GBM;0.8003665772608515
GBM;0.8227902588889281
GBM;0.8057363662740693
GBM;0.771219335668617
GBM;0.8572373997844372
GBM;0.8061540977775602
GBM;0.8060536962906553
MLPR;0.7188937985558259
MLPR;0.7845362152327844
MLPR;0.7763072241414797
MLPR;0.755779782785438
MLPR;0.7238792894791204
MLPR;0.8119187950919887
MLPR;0.7917282714381327
MLPR;0.727483118787516
